City,Region,Neighborhood,Property Type,Area (sqm),Bedrooms,Bathrooms,Floor Number,Elevator,Property Age (years),Furnished,Listing Type,Selling Price (SAR)
Riyadh,Central,Al-Olaya,apartment,204,4,2,1,No,5,No,Sale,396892.07
Riyadh,North,Al-Malqa,apartment,181,4,4,1,Yes,1,Yes,Sale,1352440.64
Riyadh,North,Al-Jameah (University District),apartment,183,3,2,3,Yes,8,No,Sale,1357283.38
Riyadh,East,Al-Khaleej,apartment,250,2,4,2,Yes,3,No,Sale,817336.09
Riyadh,Central,Al-Murabba,apartment,203,2,4,5,No,5,No,Sale,287697.25
Riyadh,South,Al-Difa,apartment,266,4,1,1,No,4,No,Sale,258241.92
Riyadh,South,Al-Dar Al-Baida,apartment,216,2,2,5,Yes,7,Yes,Sale,265590.96
Riyadh,South,Al-Marwah,apartment,131,4,3,4,Yes,5,No,Sale,141748.96
Riyadh,South,Al-Marwah,apartment,207,2,1,2,Yes,7,No,Sale,171347.19
Riyadh,South,Al-Aziziyah,apartment,133,2,1,2,No,2,No,Sale,197963.32
Riyadh,East,Al-Khaleej,apartment,155,1,3,2,No,5,No,Sale,510294.04
Riyadh,West,Ad-Diriyah,apartment,223,1,1,2,Yes,9,Yes,Sale,505152.36
Riyadh,Central,Al-Jaradiyah,apartment,103,3,3,3,Yes,2,Yes,Sale,116079.07
Riyadh,Central,Al-Fakheriyah,apartment,263,3,3,1,Yes,10,Yes,Sale,484935.45
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,206,2,2,3,Yes,4,No,Sale,841784.1
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,193,4,4,1,No,9,No,Sale,486135.35
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,267,1,1,1,No,2,Yes,Sale,1017700.82
Riyadh,South,Al-Mansourah,apartment,152,2,4,1,No,2,No,Sale,130656.29
Riyadh,West,Namar,apartment,273,4,1,3,Yes,4,No,Sale,548906.1
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,159,4,4,3,No,8,No,Sale,581430.4
Riyadh,West,Al-Suwaidi,apartment,262,3,3,5,Yes,4,Yes,Sale,913236.13
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,165,1,1,3,No,5,No,Sale,1977874.09
Riyadh,West,Sultanah,apartment,277,2,3,4,Yes,7,Yes,Sale,600612.9
Riyadh,Central,Al-Murqab,apartment,150,3,1,2,Yes,5,No,Sale,202406.1
Riyadh,South,Al-Marwah,apartment,120,4,2,5,Yes,6,No,Sale,131206.84
Riyadh,Central,Al-Morouj,apartment,225,3,3,3,Yes,5,Yes,Sale,260688.28
Riyadh,South,Al-Mansourah,apartment,155,1,3,1,No,9,Yes,Sale,194496.16
Riyadh,East,Al-Nahda,apartment,224,2,3,2,Yes,7,Yes,Sale,1016400.04
Riyadh,West,Sultanah,apartment,195,4,2,1,Yes,9,No,Sale,564578.2
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,246,4,2,4,Yes,7,No,Sale,701654.78
Riyadh,North,Hittin,apartment,103,4,3,1,Yes,4,Yes,Sale,791278.63
Riyadh,East,Al-Hamra,apartment,258,4,1,3,No,1,Yes,Sale,1156972.31
Riyadh,Central,Al-Maather,apartment,219,3,4,2,No,6,Yes,Sale,250579.83
Riyadh,West,Namar,apartment,208,4,3,3,No,8,Yes,Sale,520444.96
Riyadh,East,Al-Manar,apartment,183,4,4,2,Yes,9,Yes,Sale,697593.09
Riyadh,North,Al-Nada,apartment,147,2,2,5,Yes,5,Yes,Sale,1728913.35
Riyadh,West,Tuwaiq,apartment,149,1,4,3,No,6,Yes,Sale,329415.28
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,128,2,2,1,Yes,6,No,Sale,1474804.03
Riyadh,West,Al-Mousa,apartment,209,2,2,1,Yes,2,No,Sale,618110.61
Riyadh,South,Al-Mansourah,apartment,119,4,2,1,No,7,Yes,Sale,136735.28
Riyadh,West,Tuwaiq,apartment,150,3,3,2,Yes,9,No,Sale,367653.99
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,178,1,1,2,No,1,No,Sale,407057.4
Riyadh,North,Al-Aqiq,apartment,274,1,3,1,No,2,Yes,Sale,2856703.34
Riyadh,West,Al-Huda,apartment,162,1,2,5,Yes,3,Yes,Sale,373370.38
Riyadh,East,Al-Rimal,apartment,168,1,3,5,Yes,1,Yes,Sale,620014.45
Riyadh,West,Al-Mousa,apartment,230,2,3,3,No,9,Yes,Sale,546566.59
Riyadh,Central,Al-Jaradiyah,apartment,165,4,4,1,Yes,1,Yes,Sale,320050.27
Riyadh,Central,Al-Murqab,apartment,227,2,3,2,No,1,Yes,Sale,397890.14
Riyadh,South,Al-Shifa,apartment,159,4,1,2,No,6,No,Sale,162321.23
Riyadh,Central,Al-Wurud,apartment,226,1,1,3,Yes,3,Yes,Sale,348338.4
Riyadh,North,Al-Wadi,apartment,198,4,3,5,No,6,Yes,Sale,1438733.53
Riyadh,North,Al-Qirawan,apartment,126,1,2,5,No,2,Yes,Sale,965911.47
Riyadh,South,Al-Shaalan,apartment,241,3,1,5,Yes,4,Yes,Sale,217228.57
Riyadh,West,Namar,apartment,277,4,3,2,Yes,1,Yes,Sale,1090111.37
Riyadh,North,Al-Nada,apartment,141,2,2,3,Yes,8,No,Sale,1294022.64
Riyadh,West,Namar,apartment,166,1,1,5,Yes,1,No,Sale,390085.79
Riyadh,North,Al-Ghadeer,apartment,121,3,4,4,No,7,No,Sale,1101645.92
Riyadh,East,Al-Jazirah,apartment,219,4,1,4,Yes,10,Yes,Sale,720098.25
Riyadh,West,Al-Badiyah,apartment,215,4,4,1,No,9,Yes,Sale,436608.93
Riyadh,Central,Al-Yamamah,apartment,236,4,1,1,No,3,No,Sale,354423.74
Riyadh,South,Al-Ha’ir,apartment,271,2,4,3,No,5,No,Sale,285719.66
Riyadh,East,Al-Munsiyah,apartment,284,3,3,2,Yes,4,No,Sale,1096247.17
Riyadh,West,Tuwaiq,apartment,250,1,2,2,No,2,No,Sale,866758.29
Riyadh,Central,Al-Maather,apartment,211,1,1,1,No,6,No,Sale,260328.29
Riyadh,West,Al-Badiyah,apartment,208,2,2,1,Yes,3,No,Sale,453024.1
Riyadh,East,Al-Khaleej,apartment,185,1,1,5,Yes,3,Yes,Sale,748289.37
Riyadh,East,Qurtubah,apartment,187,1,4,4,Yes,8,No,Sale,679056.35
Riyadh,South,Al-Dar Al-Baida,apartment,164,1,4,2,No,3,Yes,Sale,222215.84
Riyadh,North,Al-Yasmeen,apartment,220,3,2,4,No,4,No,Sale,1666105.76
Riyadh,North,Al-Malqa,apartment,202,2,2,3,No,9,Yes,Sale,1513451.52
Riyadh,West,Sultanah,apartment,169,1,1,3,Yes,9,No,Sale,471711.18
Riyadh,South,Al-Shifa,apartment,135,3,1,3,Yes,6,No,Sale,167144.91
Riyadh,Central,Al-Fakheriyah,apartment,121,3,2,1,No,5,Yes,Sale,156540.76
Riyadh,East,Al-Yarmouk,apartment,134,2,1,1,No,7,No,Sale,430112.66
Riyadh,West,Tuwaiq,apartment,153,3,1,5,Yes,4,Yes,Sale,523477.59
Riyadh,Central,Al-Olaya,apartment,264,1,4,2,No,1,Yes,Sale,462254.83
Riyadh,North,Al-Ghadeer,apartment,264,4,1,5,Yes,4,Yes,Sale,2730481.06
Riyadh,East,Al-Shuhada,apartment,232,3,2,5,No,1,No,Sale,751874.95
Riyadh,Central,Al-Sulaimaniya,apartment,135,4,1,5,Yes,1,No,Sale,237145.88
Riyadh,East,Al-Manar,apartment,141,2,4,2,No,2,Yes,Sale,652880.19
Riyadh,East,Granada (Ghernata),apartment,160,3,4,1,No,6,No,Sale,520115.04
Riyadh,East,Granada (Ghernata),apartment,184,2,4,4,Yes,8,No,Sale,742183.77
Riyadh,Central,Al-Yamamah,apartment,96,4,4,2,No,6,No,Sale,188561.76
Riyadh,South,Al-Difa,apartment,131,1,3,1,Yes,6,Yes,Sale,157784.67
Riyadh,South,Al-Fawaz,apartment,200,4,2,3,No,8,Yes,Sale,207273.87
Riyadh,East,Al-Naseem Al-Gharbi (Western Naseem),apartment,106,2,3,4,Yes,5,No,Sale,366635.67
Riyadh,Central,Al-Malaz,apartment,153,1,1,3,No,6,Yes,Sale,258989.02
Riyadh,North,Al-Rabi,apartment,122,4,2,3,Yes,1,Yes,Sale,1228780.59
Riyadh,South,Al-Aziziyah,apartment,168,3,2,4,Yes,8,Yes,Sale,163693.11
Riyadh,East,Al-Sulay,apartment,148,2,3,1,No,5,No,Sale,728365.57
Riyadh,Central,Al-Jaradiyah,apartment,120,2,4,2,No,9,No,Sale,228209.29
Riyadh,South,Al-Mansourah,apartment,266,4,4,3,No,3,No,Sale,388358.08
Riyadh,Central,Al-Morouj,apartment,186,3,2,3,Yes,3,No,Sale,335462.51
Riyadh,West,Tuwaiq,apartment,255,2,2,2,Yes,4,No,Sale,665407.9
Riyadh,South,Al-Shaalan,apartment,191,2,2,1,No,4,No,Sale,230680.39
Riyadh,West,Al-Huda,apartment,197,4,4,4,No,3,No,Sale,480537.81
Riyadh,East,Al-Manar,apartment,188,1,3,5,No,4,No,Sale,773316.6
Riyadh,West,Tuwaiq,apartment,130,1,1,1,Yes,6,No,Sale,300303.71
Riyadh,West,Al-Suwaidi Al-Gharbi (Western Suwaidi),apartment,166,2,2,4,Yes,2,Yes,Sale,440997.89
Riyadh,East,Al-Jazirah,apartment,143,3,1,4,Yes,10,No,Sale,686029.74
Riyadh,West,Shubra,apartment,185,3,4,4,No,1,Yes,Sale,483028.87
Riyadh,East,Al-Quds,apartment,230,3,2,1,Yes,10,Yes,Sale,1117724.18
Riyadh,North,Al-Wadi,apartment,265,3,4,3,Yes,6,No,Sale,2386883.75
Riyadh,East,Al-Yarmouk,apartment,169,2,3,3,Yes,3,Yes,Sale,689730.74
Riyadh,South,Badr,apartment,203,2,4,2,Yes,7,Yes,Sale,222818.02
Riyadh,North,Al-Aqiq,apartment,185,4,2,5,No,7,Yes,Sale,1883496.64
Riyadh,North,Al-Izdihar,apartment,118,2,4,5,Yes,10,No,Sale,904628.82
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,234,1,3,2,Yes,9,Yes,Sale,846380.71
Riyadh,West,Al-Badiyah,apartment,243,2,1,1,No,8,Yes,Sale,541282.55
Riyadh,South,Al-Fawaz,apartment,211,4,4,4,No,7,No,Sale,269084.71
Riyadh,Central,Al-Murabba,apartment,180,4,2,5,No,8,No,Sale,356994.25
Riyadh,South,Al-Mansourah,apartment,224,3,2,1,Yes,8,No,Sale,211274.3
Riyadh,South,Al-Dar Al-Baida,apartment,256,4,1,3,Yes,8,Yes,Sale,268663.14
Riyadh,East,Qurtubah,apartment,182,2,2,4,Yes,10,Yes,Sale,724543.57
Riyadh,South,Al-Difa,apartment,190,1,2,1,No,7,No,Sale,200468.74
Riyadh,Central,Al-Wurud,apartment,230,3,1,4,No,2,No,Sale,430355.93
Riyadh,Central,Al-Jaradiyah,apartment,98,3,4,4,Yes,9,No,Sale,180147.89
Riyadh,Central,Al-Jaradiyah,apartment,119,4,2,2,No,7,No,Sale,198001.8
Riyadh,North,Al-Malqa,apartment,191,1,2,5,Yes,7,No,Sale,1401745.41
Riyadh,South,Al-Aziziyah,apartment,277,4,3,4,Yes,2,Yes,Sale,276372.99
Riyadh,East,Al-Sulay,apartment,279,3,3,2,Yes,7,No,Sale,1205054.89
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,136,1,2,4,Yes,8,No,Sale,511806.79
Riyadh,Central,Al-Olaya,apartment,249,3,2,1,Yes,6,Yes,Sale,451205.12
Riyadh,South,Al-Shifa,apartment,140,1,2,4,Yes,5,No,Sale,203299.74
Riyadh,West,Dhahret Laban,apartment,238,4,4,3,No,3,No,Sale,598910.65
Riyadh,West,Al-Mousa,apartment,99,3,4,1,No,3,Yes,Sale,387141.04
Riyadh,West,Al-Suwaidi,apartment,166,2,1,3,Yes,1,Yes,Sale,548631.25
Riyadh,East,Qurtubah,apartment,91,4,4,1,No,4,Yes,Sale,448307.04
Riyadh,North,Al-Izdihar,apartment,110,2,1,3,Yes,10,Yes,Sale,1077442.33
Riyadh,West,Shubra,apartment,251,4,3,5,No,6,No,Sale,753018.21
Riyadh,East,Al-Rayan,apartment,130,2,4,2,Yes,9,Yes,Sale,569565.34
Riyadh,East,Al-Quds,apartment,266,3,3,4,No,1,No,Sale,999942.86
Riyadh,Central,Al-Sulaimaniya,apartment,232,3,4,1,Yes,10,Yes,Sale,366343.78
Riyadh,West,Al-Huda,apartment,249,1,1,2,No,8,No,Sale,888252.24
Riyadh,West,Ad-Diriyah,apartment,175,4,1,3,No,6,No,Sale,519240.4
Riyadh,West,Namar,apartment,136,3,2,4,No,3,Yes,Sale,381149.05
Riyadh,North,Al-Nakheel Al-Sharqi (Eastern Nakheel),apartment,189,3,2,4,Yes,3,No,Sale,2027628.44
Riyadh,North,Al-Aarid,apartment,203,1,2,1,No,6,No,Sale,1616502.42
Riyadh,West,Al-Suwaidi,apartment,280,2,2,4,Yes,5,Yes,Sale,750008.37
Riyadh,East,Al-Nahda,apartment,170,1,2,5,Yes,2,No,Sale,732814.14
Riyadh,South,Al-Dar Al-Baida,apartment,277,1,3,4,No,7,Yes,Sale,353448.81
Riyadh,South,Al-Marwah,apartment,215,2,2,5,Yes,6,Yes,Sale,311671.67
Riyadh,West,Shubra,apartment,224,3,1,2,Yes,7,No,Sale,810660.4
Riyadh,East,Al-Rayan,apartment,96,3,1,1,No,10,No,Sale,318815.8
Riyadh,North,Al-Izdihar,apartment,120,4,2,3,No,5,Yes,Sale,1009046.98
Riyadh,Central,Al-Jaradiyah,apartment,236,3,4,1,Yes,8,No,Sale,375351.2
Riyadh,Central,Al-Olaya,apartment,166,3,2,5,Yes,10,Yes,Sale,196965.63
Riyadh,East,Al-Shuhada,apartment,177,1,4,3,Yes,6,No,Sale,699028.43
Riyadh,South,Al-Marwah,apartment,249,2,4,2,No,9,Yes,Sale,293880.83
Riyadh,West,Al-Badiyah,apartment,215,2,2,4,No,8,Yes,Sale,452468.82
Riyadh,East,Ishbiliyah,apartment,275,2,1,2,Yes,3,Yes,Sale,955523.6
Riyadh,Central,Al-Malaz,apartment,220,2,2,3,Yes,1,Yes,Sale,363551.74
Riyadh,South,Al-Mansourah,apartment,152,4,3,1,No,1,No,Sale,154221.39
Riyadh,North,Al-Yasmeen,apartment,204,2,1,2,Yes,10,Yes,Sale,2049886.18
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,197,4,4,3,No,10,Yes,Sale,700480.98
Riyadh,East,Al-Rimal,apartment,120,3,2,2,Yes,8,No,Sale,486128.76
Riyadh,Central,Al-Wurud,apartment,268,2,3,5,Yes,5,No,Sale,322650.78
Riyadh,East,Al-Naseem Al-Sharqi (Eastern Naseem),apartment,233,1,3,2,No,3,Yes,Sale,737606.75
Riyadh,West,Shubra,apartment,225,1,4,5,Yes,4,No,Sale,728316.59
Riyadh,East,Al-Nahda,apartment,140,1,4,1,Yes,6,No,Sale,690899.47
Riyadh,West,Dhahret Laban,apartment,135,2,3,5,Yes,3,Yes,Sale,493197.05
Riyadh,North,Al-Nakheel,apartment,189,1,2,4,No,7,Yes,Sale,1451628.99
Riyadh,East,Al-Yarmouk,apartment,105,3,4,4,No,10,No,Sale,442827.75
Riyadh,West,Sultanah,apartment,269,2,4,4,Yes,1,No,Sale,852903.74
Riyadh,South,Al-Dar Al-Baida,apartment,140,4,3,3,No,3,Yes,Sale,158818.63
Riyadh,North,Al-Jameah (University District),apartment,198,1,4,3,No,8,No,Sale,2270586.87
Riyadh,East,Al-Rawdah,apartment,99,3,1,4,Yes,8,Yes,Sale,408422.82
Riyadh,North,Al-Rabi,apartment,125,1,4,1,Yes,5,Yes,Sale,914719.96
Riyadh,North,Al-Izdihar,apartment,152,4,3,5,No,2,No,Sale,1378109.71
Riyadh,Central,Al-Yamamah,apartment,198,1,1,3,Yes,7,No,Sale,213483.1
Riyadh,East,Ishbiliyah,apartment,203,3,3,4,Yes,3,No,Sale,627017.93
Riyadh,East,Qurtubah,apartment,284,4,2,4,Yes,2,No,Sale,976608.34
Riyadh,East,Al-Khaleej,apartment,252,2,4,5,Yes,10,No,Sale,1123050.05
Riyadh,South,Al-Dar Al-Baida,apartment,244,1,3,1,No,6,Yes,Sale,325362.83
Riyadh,East,Al-Jazirah,apartment,259,2,3,3,No,8,No,Sale,1040697.98
Riyadh,West,Al-Mousa,apartment,227,4,3,2,Yes,10,Yes,Sale,869234.3
Riyadh,West,Ad-Diriyah,apartment,254,3,1,3,Yes,1,No,Sale,580758.84
Riyadh,East,Al-Rawdah,apartment,274,3,2,4,Yes,5,Yes,Sale,1008398.01
Riyadh,Central,Al-Jaradiyah,apartment,282,2,2,2,No,4,No,Sale,515128.37
Riyadh,West,Tuwaiq,apartment,275,3,3,3,Yes,3,No,Sale,1004945.7
Riyadh,East,Al-Yarmouk,apartment,268,1,4,2,Yes,6,Yes,Sale,1057712.27
Riyadh,East,Al-Munsiyah,apartment,182,2,3,3,Yes,6,Yes,Sale,577331.28
Riyadh,West,Al-Oraija Al-Gharbi (Western Oraija),apartment,254,3,2,5,Yes,5,Yes,Sale,915925.69
Riyadh,Central,Al-Murqab,apartment,111,3,1,5,No,5,No,Sale,155269.12
Riyadh,East,Al-Khaleej,apartment,113,4,1,4,No,1,Yes,Sale,520653.44
Riyadh,North,Al-Qirawan,apartment,178,4,3,1,No,10,Yes,Sale,1348733.41
Riyadh,North,Al-Aqiq,apartment,107,3,4,4,Yes,5,Yes,Sale,1281339.05
Riyadh,South,Al-Mansourah,apartment,153,2,4,5,No,3,Yes,Sale,136790.81
Riyadh,Central,Al-Murqab,apartment,131,3,4,3,Yes,6,No,Sale,243825.6
Riyadh,West,Ad-Diriyah,apartment,203,4,4,1,No,4,Yes,Sale,734543.37
Riyadh,Central,Al-Yamamah,apartment,158,4,2,2,Yes,8,Yes,Sale,191514.39
Riyadh,East,Al-Hamra,apartment,255,4,2,4,Yes,10,No,Sale,1172011.19
Riyadh,East,Al-Quds,apartment,97,4,3,2,Yes,1,Yes,Sale,420616.41
Riyadh,South,Al-Khalidiyah,apartment,237,3,4,2,No,2,No,Sale,311293.99
Riyadh,East,Al-Shuhada,apartment,189,1,1,4,Yes,2,No,Sale,629267.78
Riyadh,North,Al-Maseef,apartment,281,2,2,5,No,7,Yes,Sale,2193736.03
Riyadh,West,Namar,apartment,162,4,2,5,Yes,1,No,Sale,395309.62
Riyadh,East,Al-Jazirah,apartment,163,2,4,2,No,3,Yes,Sale,800209.53
Riyadh,South,Al-Marwah,apartment,112,3,3,3,No,5,Yes,Sale,121416.38
Riyadh,West,Namar,apartment,241,3,1,3,Yes,4,Yes,Sale,624643.56
Riyadh,East,Al-Khaleej,apartment,199,4,2,2,No,10,No,Sale,685975.43
Riyadh,Central,Al-Malaz,apartment,121,1,1,1,Yes,8,Yes,Sale,122631.44
Riyadh,North,Al-Rabi,apartment,111,2,3,2,No,7,No,Sale,942516.29
Riyadh,North,Al-Aarid,apartment,266,2,2,5,No,6,No,Sale,2309392.1
Riyadh,North,Al-Nada,apartment,97,4,2,4,Yes,1,No,Sale,849145.46
Riyadh,South,Al-Fawaz,apartment,121,3,1,3,Yes,1,Yes,Sale,172896.35
Riyadh,Central,Al-Yamamah,apartment,246,2,3,5,Yes,3,No,Sale,456017.24
Riyadh,Central,Al-Yamamah,apartment,139,1,1,2,Yes,10,No,Sale,157626.02
Riyadh,Central,Al-Fakheriyah,apartment,250,4,1,2,Yes,6,No,Sale,499972.06
Riyadh,North,Al-Rabi,apartment,154,2,1,3,No,1,Yes,Sale,1351802.06
Riyadh,East,Al-Sulay,apartment,161,1,2,4,No,1,Yes,Sale,742230.07
Riyadh,North,Al-Nakheel,apartment,121,4,4,5,Yes,7,Yes,Sale,976422.95
Riyadh,South,Al-Dar Al-Baida,apartment,246,1,4,1,Yes,2,No,Sale,257683.7
Riyadh,Central,Al-Maather,apartment,124,4,4,2,No,8,Yes,Sale,145925.1
Riyadh,Central,Al-Maather,apartment,182,4,3,5,Yes,3,No,Sale,307397.6
Riyadh,South,Al-Aziziyah,apartment,176,2,1,4,No,2,Yes,Sale,248145.63
Riyadh,South,Al-Mansourah,apartment,148,3,4,2,No,8,No,Sale,203121.81
Riyadh,North,Al-Maseef,apartment,173,2,3,2,Yes,1,Yes,Sale,1509749.56
Riyadh,Central,Al-Olaya,apartment,115,2,3,5,No,2,Yes,Sale,122941.14
Riyadh,Central,Al-Olaya,apartment,244,4,2,4,Yes,8,Yes,Sale,259799.09
Riyadh,East,Al-Quds,apartment,159,1,2,3,No,8,No,Sale,786477.59
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,172,2,4,3,Yes,4,No,Sale,658341.17
Riyadh,South,Al-Ha’ir,apartment,101,1,2,1,Yes,5,Yes,Sale,129372.13
Riyadh,Central,Al-Fakheriyah,apartment,100,1,2,2,Yes,9,Yes,Sale,109613.56
Riyadh,South,Al-Mansourah,apartment,197,1,4,3,Yes,7,No,Sale,226755.96
Riyadh,North,Al-Yasmeen,apartment,221,4,1,4,Yes,7,Yes,Sale,2587116.34
Riyadh,North,Al-Rabi,apartment,181,2,2,1,Yes,5,No,Sale,1747782.48
Riyadh,Central,Al-Dhobat,apartment,216,1,3,4,Yes,3,Yes,Sale,378681.52
Riyadh,East,Al-Rimal,apartment,134,1,1,3,Yes,3,Yes,Sale,496908.64
Riyadh,South,Al-Khalidiyah,apartment,176,4,2,3,No,6,No,Sale,154282.93
Riyadh,South,Al-Shaalan,apartment,110,1,4,1,Yes,1,Yes,Sale,125583.68
Riyadh,Central,Al-Maather,apartment,127,1,3,1,Yes,7,Yes,Sale,186210.4
Riyadh,South,Al-Mansourah,apartment,244,4,2,4,No,1,Yes,Sale,205416.3
Riyadh,West,Dhahiyat Laban (Laban Suburb),apartment,166,1,4,3,Yes,2,No,Sale,451311.72
Riyadh,North,Al-Qirawan,apartment,109,3,4,4,Yes,9,Yes,Sale,784360.8
